age,income,transactions_30d,avg_check,days_since_last_login,support_tickets,risk_score,engagement_score,target_churn
26,43848.42,23,1347.18,4,35,0.512,62.58,0
28,63249.84,0,2884.01,13,10,0.7008,56.28,1
26,81791.27,26,665.87,12,31,0.5321,49.19,0
32,57592.36,12,561.07,10,15,0.3002,28.12,0
31,45593.21,13,2298.78,3,16,0.6821,19.58,1
44,47487.78,1,4041.35,5,23,0.2643,48.48,0
25,34930.1,11,2131.5,11,22,0.2424,71.61,1
23,32192.2,6,2292.67,4,11,0.6911,72.55,1
23,35603.22,18,538.38,0,18,0.3428,42.25,1
23,92754.97,10,1259.22,21,8,0.4622,30.88,0
31,67636.98,16,3214.25,1,0,0.3692,54.02,1
36,32685.58,8,1870.8,24,13,0.411,28.81,0
37,48751.4,9,2540.5,7,22,0.2021,39.44,0
34,45983.84,11,3092.07,6,37,0.4784,77.06,0
20,58765.56,27,2428.29,1,31,0.5219,54.28,0
24,40016.89,12,5674.5,6,2,0.4966,12.68,0
27,39003.79,7,2138.73,1,1,0.5633,14.18,0
21,35178.1,13,1809.31,3,14,0.6085,45.29,0
34,43075.33,6,3231.35,9,20,0.284,47.65,0
24,51600.96,25,4536.55,19,33,0.5299,56.19,0
20,52675.4,12,2482.23,2,2,0.5223,26.07,0
36,65506.22,7,4188.33,6,5,0.7555,48.9,1
47,39783.74,11,1424.06,4,37,0.461,59.21,0
19,50301.88,14,2594.1,16,12,0.3087,37.1,1
27,40323.57,6,984.5,7,26,0.0058,10.94,0
31,48387.69,14,1556.54,21,24,0.2738,45.99,0
31,35190.93,15,4136.2,5,33,0.5845,65.4,0
35,60274.29,0,1692.0,7,2,0.4156,22.09,1
20,30585.26,12,1852.48,4,13,0.4119,47.23,0
23,40264.27,31,1812.64,7,38,0.3737,56.34,1
33,33871.8,7,2494.25,3,12,0.3689,31.61,0
33,48041.03,27,867.13,4,22,0.3573,54.14,1
20,33376.43,18,4931.96,1,21,0.7036,52.08,0
33,31213.22,14,2268.87,19,4,0.5398,58.82,1
50,32300.52,21,3499.9,19,1,0.4125,41.3,1
33,40934.67,10,4854.17,8,31,0.575,67.58,0
41,38709.73,0,1412.51,7,20,0.6029,55.9,0
24,40261.71,11,1018.32,10,11,0.3956,34.94,0
21,52968.91,33,2557.32,4,21,0.5691,27.02,0
