timestamp,station,year,month,day,hour,pm2_5_ug_m3,pm10_ug_m3,so2_ug_m3,no2_ug_m3,co_ug_m3,o3_ug_m3,temperature_c,pressure_hpa,dew_point_c,rain_mm,wind_direction,wind_speed_m_s,missing_measurements
2016-01-01T00:00,aotizhongxin,2016,1,1,0,209,268,47,123,5300,13,-2.5,1024.5,-8.2,0,NNE,1.1,0
2016-01-01T00:00,dingling,2016,1,1,0,90,90,22,76,3600,2,-3.8,1019.6,-9.6,0,NNW,1.2,0
2016-01-01T01:00,aotizhongxin,2016,1,1,1,211,248,66,119,5400,16,-3.5,1023.8,-7.3,0,NE,1,0
2016-01-01T01:00,dingling,2016,1,1,1,82,82,20,79,3500,2,-3.8,1018.8,-9.8,0,N,1.5,0
2016-01-01T02:00,aotizhongxin,2016,1,1,2,167,192,64,115,4300,12,-4.7,1023.7,-7.3,0,ENE,0.8,0
2016-01-01T02:00,dingling,2016,1,1,2,89,89,21,80,3400,2,-3.9,1018.6,-9.7,0,N,1.1,0
2016-01-01T03:00,aotizhongxin,2016,1,1,3,136,159,56,111,4100,9,-3.6,1023.1,-7.7,0,ENE,1.5,0
2016-01-01T03:00,dingling,2016,1,1,3,84,84,20,80,3300,2,-3.7,1018,-9.7,0,NNW,1.3,0
2016-01-01T04:00,aotizhongxin,2016,1,1,4,108,121,46,107,3600,7,-5.1,1022.3,-7.7,0,E,1,0
2016-01-01T04:00,dingling,2016,1,1,4,89,89,20,81,3200,2,-4.9,1017.3,-9.9,0,NW,1.1,0
2016-01-01T05:00,aotizhongxin,2016,1,1,5,93,108,42,107,3400,7,-5.7,1021.7,-8.3,0,ENE,1.2,0
2016-01-01T05:00,dingling,2016,1,1,5,94,94,19,77,3200,2,-4.2,1016.4,-9.8,0,NNE,1.4,0
2016-01-01T06:00,aotizhongxin,2016,1,1,6,107,126,36,108,4000,7,-6.3,1021.1,-8.4,0,ENE,0.7,0
2016-01-01T06:00,dingling,2016,1,1,6,94,94,18,71,3100,2,-5.1,1015.8,-9.7,0,NNE,0.9,0
2016-01-01T07:00,aotizhongxin,2016,1,1,7,113,126,29,97,3700,7,-6.8,1021.1,-8.6,0,E,0.7,0
2016-01-01T07:00,dingling,2016,1,1,7,91,100,18,68,3100,2,-5.8,1016,-9.9,0,NNW,1.4,0
2016-01-01T08:00,aotizhongxin,2016,1,1,8,89,94,26,85,2300,7,-6.8,1021.2,-8.8,0,ENE,0.9,0
2016-01-01T08:00,dingling,2016,1,1,8,97,114,21,63,3100,2,-5.5,1016.3,-9.6,0,N,1.4,0
2016-01-01T09:00,aotizhongxin,2016,1,1,9,91,116,22,84,2800,6,-3.6,1021.5,-8.3,0,E,1.2,0
2016-01-01T09:00,dingling,2016,1,1,9,122,144,27,57,3300,2,-4.9,1016.3,-9.2,0,NNW,0.8,0
2016-01-01T10:00,aotizhongxin,2016,1,1,10,107,130,29,88,3200,8,-2.1,1021.1,-8,0,ENE,1.4,0
2016-01-01T10:00,dingling,2016,1,1,10,212,246,55,73,3800,3,-1,1015.9,-8.7,0,WNW,0.5,0
2016-01-01T11:00,aotizhongxin,2016,1,1,11,108,129,38,91,2800,11,-0.2,1020.6,-7.9,0,ENE,1.2,0
2016-01-01T11:00,dingling,2016,1,1,11,130,138,57,66,4300,7,1.7,1015,-7.4,0,SE,1.1,0
2016-01-01T12:00,aotizhongxin,2016,1,1,12,123,147,48,100,3000,14,1.3,1019.2,-7.7,0,ESE,0.8,0
2016-01-01T12:00,dingling,2016,1,1,12,139,141,54,73,4200,13,2.4,1013.8,-8.1,0,S,1.5,0
2016-01-01T13:00,aotizhongxin,2016,1,1,13,130,145,55,103,2800,17,2.8,1017.7,-7.7,0,SW,1,0
2016-01-01T13:00,dingling,2016,1,1,13,167,201,50,102,4300,9,3.1,1012.4,-8,0,ESE,1.7,0
2016-01-01T14:00,aotizhongxin,2016,1,1,14,149,166,56,118,2900,18,4.3,1016.7,-7.2,0,SE,0.5,0
2016-01-01T14:00,dingling,2016,1,1,14,149,166,49,89,4300,16,4.8,1011.5,-8,0,NNW,0.5,0
2016-01-01T15:00,aotizhongxin,2016,1,1,15,168,188,60,135,3000,16,4.2,1016.7,-7,0,E,1.1,0
2016-01-01T15:00,dingling,2016,1,1,15,143,163,51,88,4200,17,5,1011.3,-8.5,0,S,1.1,0
2016-01-01T16:00,aotizhongxin,2016,1,1,16,177,197,55,147,3300,12,3.9,1016.4,-7,0,E,1,0
2016-01-01T16:00,dingling,2016,1,1,16,140,157,49,95,4000,12,4.6,1011.2,-8.5,0,SW,0.7,0
2016-01-01T17:00,aotizhongxin,2016,1,1,17,180,214,48,150,3700,9,1.2,1017,-6.9,0,E,1.1,0
2016-01-01T17:00,dingling,2016,1,1,17,147,174,37,97,4000,2,2.5,1011.7,-8.3,0,WNW,0.4,0
