timestamp,period,month,hour,minute,is_weekend,usage_kwh,lagging_reactive_power_kvarh,leading_reactive_power_kvarh,co2_tonnes,lagging_power_factor_pct,leading_power_factor_pct,load_type
2018-01-01T00:00,reference,1,0,0,0,3.42,3.46,0,0,70.3,100,light
2018-01-01T00:15,reference,1,0,15,0,3.17,2.95,0,0,73.21,100,light
2018-01-01T00:45,reference,1,0,45,0,3.24,3.28,0,0,70.28,100,light
2018-01-01T01:00,reference,1,1,0,0,3.31,3.56,0,0,68.09,100,light
2018-01-01T01:30,reference,1,1,30,0,3.28,3.56,0,0,67.76,100,light
2018-01-01T01:45,reference,1,1,45,0,3.6,4.14,0,0,65.62,100,light
2018-01-01T02:00,reference,1,2,0,0,3.6,4.28,0,0,64.37,100,light
2018-01-01T02:15,reference,1,2,15,0,3.28,3.64,0,0,66.94,100,light
2018-01-01T02:30,reference,1,2,30,0,3.78,4.72,0,0,62.51,100,light
2018-01-01T02:45,reference,1,2,45,0,3.46,4.03,0,0,65.14,100,light
2018-01-01T03:00,reference,1,3,0,0,3.24,3.64,0,0,66.49,100,light
2018-01-01T03:15,reference,1,3,15,0,3.96,4.97,0,0,62.32,100,light
2018-01-01T03:45,reference,1,3,45,0,3.31,3.85,0,0,65.19,100,light
2018-01-01T04:00,reference,1,4,0,0,3.89,5,0,0,61.4,100,light
2018-01-01T04:15,reference,1,4,15,0,3.28,3.82,0,0,65.14,100,light
2018-01-01T04:45,reference,1,4,45,0,3.74,4.54,0,0,63.58,100,light
2018-01-01T05:00,reference,1,5,0,0,3.31,3.6,0,0,67.68,100,light
2018-01-01T05:15,reference,1,5,15,0,3.56,4.07,0,0,65.84,100,light
2018-01-01T05:30,reference,1,5,30,0,3.56,4.1,0,0,65.56,100,light
2018-01-01T06:00,reference,1,6,0,0,3.78,4.32,0,0,65.85,100,light
2018-01-01T06:30,reference,1,6,30,0,3.24,3.35,0,0,69.52,100,light
2018-01-01T07:00,reference,1,7,0,0,3.31,3.53,0,0,68.4,100,light
2018-01-01T07:15,reference,1,7,15,0,3.28,3.49,0,0,68.48,100,light
2018-01-01T07:45,reference,1,7,45,0,3.2,3.6,0,0,66.44,100,light
2018-01-01T08:00,reference,1,8,0,0,3.31,3.78,0,0,65.88,100,light
2018-01-01T08:15,reference,1,8,15,0,3.78,4.75,0,0,62.27,100,light
2018-01-01T08:30,reference,1,8,30,0,3.28,3.74,0,0,65.94,100,light
2018-01-01T08:45,reference,1,8,45,0,3.49,4.46,0.18,0,61.63,99.87,light
2018-01-01T09:00,reference,1,9,0,0,3.89,0,15.66,0,100,24.11,light
2018-01-01T09:15,reference,1,9,15,0,3.6,0,16.96,0,100,20.76,light
2018-01-01T09:30,reference,1,9,30,0,4.03,0,21.28,0,100,18.61,light
2018-01-01T09:45,reference,1,9,45,0,3.92,0,19.22,0,100,19.98,light
2018-01-01T10:00,reference,1,10,0,0,3.64,0,16.88,0,100,21.08,light
2018-01-01T10:15,reference,1,10,15,0,4.07,0,22.32,0,100,17.94,light
2018-01-01T10:30,reference,1,10,30,0,3.71,0,18,0,100,20.19,light
2018-01-01T10:45,reference,1,10,45,0,3.6,0,16.92,0,100,20.81,light
2018-01-01T11:00,reference,1,11,0,0,4.21,0,23.4,0,100,17.71,light
2018-01-01T11:15,reference,1,11,15,0,3.49,0,5.65,0,100,52.55,light
2018-01-01T11:30,reference,1,11,30,0,3.46,0,4.82,0,100,58.31,light
2018-01-01T11:45,reference,1,11,45,0,4,0,6.7,0,100,51.26,light
