age,age_group,workclass,education_level,education_years,marital_status,occupation,relationship,race,sex,capital_gain_usd,capital_loss_usd,hours_per_week,native_country,source_split,high_income
62,55-64,,Assoc-voc,11,Married-civ-spouse,,Husband,White,Male,0,0,40,Canada,train,0
65,65+,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,United-States,train,0
22,17-24,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,train,0
47,45-54,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,train,0
44,35-44,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,United-States,train,1
27,25-34,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,train,0
32,25-34,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,train,0
48,45-54,State-gov,Masters,14,Separated,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,train,0
26,25-34,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,train,0
42,35-44,State-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,test,0
23,17-24,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,50,United-States,test,0
33,25-34,Federal-gov,Assoc-acdm,12,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,train,0
26,25-34,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2377,45,United-States,train,0
43,35-44,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,3103,0,70,United-States,test,1
75,65+,Self-emp-not-inc,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,2346,0,15,United-States,train,0
54,45-54,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,United-States,test,1
52,45-54,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,99999,0,35,United-States,test,1
49,45-54,Private,Some-college,10,Divorced,Tech-support,Unmarried,Black,Female,0,0,35,United-States,test,0
39,35-44,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,train,0
23,17-24,Private,9th,5,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,train,0
31,25-34,Private,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,36,United-States,train,0
52,45-54,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,train,0
45,45-54,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,2415,40,United-States,test,1
50,45-54,Private,Bachelors,13,Separated,Prof-specialty,Own-child,Other,Female,0,0,40,United-States,train,0
31,25-34,Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,test,0
41,35-44,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Female,0,0,50,United-States,train,0
29,25-34,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Female,0,0,45,United-States,train,0
33,25-34,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,test,1
68,65+,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,test,1
50,45-54,Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,30,United-States,train,0
52,45-54,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,train,0
19,17-24,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,test,0
47,45-54,Private,7th-8th,4,Separated,Other-service,Not-in-family,White,Female,0,0,38,United-States,test,0
41,35-44,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,,train,0
55,55-64,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,train,0
25,25-34,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,24,United-States,train,0
30,25-34,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,80,United-States,test,1
38,35-44,Self-emp-not-inc,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,27828,0,35,United-States,test,1
20,17-24,Private,HS-grad,9,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,15,,train,0
37,35-44,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,train,0
66,65+,State-gov,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Black,Male,20051,0,55,United-States,train,1
79,65+,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,20,United-States,train,1
55,55-64,Private,Bachelors,13,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,40,,train,0
19,17-24,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,test,0
31,25-34,Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,train,0
37,35-44,Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,25,United-States,test,0
38,35-44,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,train,0
37,35-44,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,train,0
62,55-64,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,70,United-States,train,0
62,55-64,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,train,1
43,35-44,Private,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,train,0
32,25-34,,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,40,,train,0
25,25-34,Private,10th,6,Never-married,Handlers-cleaners,Own-child,Black,Male,0,1602,40,United-States,train,0
44,35-44,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,test,0
28,25-34,Private,HS-grad,9,Never-married,Sales,Unmarried,White,Female,0,0,70,United-States,train,0
